"Study","Selection bias","Measurement bias","Confounding and temporality","Missing data","Reporting bias","Overall risk"
"Bakker et al. (2016)","Moderate","Low","High","Moderate","Low","High"
"Tims et al. (2015)","Moderate","Low","Moderate","Moderate","Low","Moderate"
"Petrou et al. (2012)","Moderate","Low","Moderate","Moderate","Low","Moderate"
"Dubbelt et al. (2019)","High","Moderate","High","Moderate","Low","High"
"Tims et al. (2013)","Moderate","Moderate","Moderate","Moderate","Low","Moderate"
"Bakker et al. (2012)","Moderate","Low","High","Moderate","Low","High"
"Moreira et al. (2022)","Moderate","Low","High","Moderate","Low","High"
"De Beer et al. (2016)","Moderate","Moderate","High","Moderate","Low","High"
"Petrou et al. (2018)","Moderate","Low","Moderate","Moderate","Low","Moderate"
"Muttar et al. (2024)","Moderate","Moderate","High","Low","Low","High"
"Sakuraya et al. (2017)","Moderate","Low","High","Low","Low","Moderate"
